Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
FAST, BRISK, 10, 11.9077, 11.1928, 0.714935
FAST, BRISK, 11, 11.2423, 11.4035, -0.161147
FAST, BRISK, 12, 9.69089, 12.2232, -2.53234
FAST, BRISK, 13, 9.61285, 10.1787, -0.565815
FAST, BRISK, 14, 9.1458, 10.5009, -1.35515
FAST, BRISK, 15, 8.38699, 9.45748, -1.07048
FAST, BRISK, 16, 8.96962, 10.4195, -1.4499
FAST, BRISK, 17, 10.9895, 8.80319, 2.18632
FAST, BRISK, 18, 8.49633, 11.0748, -2.57844
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
FAST, ORB, 1, 12.4857, 13.3745, -0.888792
FAST, ORB, 2, 12.7245, 12.4031, 0.321352
FAST, ORB, 3, 19.866, 12.1788, 7.68725
FAST, ORB, 4, 14.0501, 10.3294, 3.72063
FAST, ORB, 5, 12.5319, 11.4428, 1.08914
FAST, ORB, 6, 13.8845, 11.7723, 2.11214
FAST, ORB, 7, 13.4805, 13.8255, -0.344991
FAST, ORB, 8, 14.0734, 11.607, 2.46643
FAST, ORB, 9, 13.0205, 11.4351, 1.58548
FAST, ORB, 10, 11.9077, 8.58676, 3.32097
FAST, ORB, 11, 11.2423, 11.0841, 0.158234
FAST, ORB, 12, 9.69089, 11.0738, -1.38293
FAST, ORB, 13, 9.61285, 10.4304, -0.817559
FAST, ORB, 14, 9.1458, 10.6031, -1.45734
FAST, ORB, 15, 8.38699, 10.4021, -2.0151
FAST, ORB, 16, 8.96962, 8.32394, 0.645682
FAST, ORB, 17, 10.9895, 8.54474, 2.44477
FAST, ORB, 18, 8.49633, 11.0267, -2.53035
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
FAST, BRIEF, 1, 12.4857, 13.4113, -0.925568
FAST, BRIEF, 2, 12.7245, 11.4207, 1.30371
FAST, BRIEF, 3, 19.866, 13.0617, 6.80432
FAST, BRIEF, 4, 14.0501, 11.0721, 2.97796
FAST, BRIEF, 5, 12.5319, 12.4289, 0.10302
FAST, BRIEF, 6, 13.8845, 12.6011, 1.28333
